source,stage,timestamp_ms,chunk_index,source_position_sec,audio_bytes
client,chunk_sent,54.55,0,0.000,9600
backend,audio_received,59.35,0,0.000,9600
backend,audio_to_riva,60.26,0,0.000,9600
client,chunk_sent,355.79,1,0.300,9600
backend,audio_received,359.51,1,0.300,9600
backend,audio_to_riva,359.83,1,0.300,9600
client,chunk_sent,656.19,2,0.600,9600
backend,audio_received,659.71,2,0.600,9600
backend,audio_to_riva,660.08,2,0.600,9600
client,chunk_sent,955.85,3,0.900,9600
backend,audio_received,961.88,3,0.900,9600
backend,audio_to_riva,962.42,3,0.900,9600
client,chunk_sent,1256.08,4,1.200,9600
backend,audio_received,1262.19,4,1.200,9600
backend,audio_to_riva,1262.77,4,1.200,9600
client,chunk_sent,1555.57,5,1.500,9600
backend,audio_received,1561.44,5,1.500,9600
backend,audio_to_riva,1561.90,5,1.500,9600
client,chunk_sent,1855.75,6,1.800,9600
backend,audio_received,1861.48,6,1.800,9600
backend,audio_to_riva,1861.92,6,1.800,9600
client,chunk_sent,2156.05,7,2.100,9600
backend,audio_received,2161.54,7,2.100,9600
backend,audio_to_riva,2161.87,7,2.100,9600
client,chunk_sent,2455.39,8,2.400,9600
backend,audio_received,2461.46,8,2.400,9600
backend,audio_to_riva,2461.80,8,2.400,9600
client,chunk_sent,2755.39,9,2.700,9600
backend,audio_received,2761.47,9,2.700,9600
backend,audio_to_riva,2761.80,9,2.700,9600
client,chunk_sent,3056.11,10,3.000,9600
backend,audio_received,3062.42,10,3.000,9600
backend,audio_to_riva,3062.78,10,3.000,9600
client,chunk_sent,3355.90,11,3.300,9600
backend,audio_received,3361.60,11,3.300,9600
backend,audio_to_riva,3361.93,11,3.300,9600
client,chunk_sent,3656.32,12,3.600,9600
backend,audio_received,3662.86,12,3.600,9600
backend,audio_to_riva,3663.20,12,3.600,9600
client,chunk_sent,3955.65,13,3.900,9600
backend,audio_received,3961.71,13,3.900,9600
backend,audio_to_riva,3962.05,13,3.900,9600
client,chunk_sent,4256.23,14,4.200,9600
backend,audio_received,4262.04,14,4.200,9600
